Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,19.309999,19.35,18.52,18.68,18.433323,59700
2019-04-23,18.67,18.950001,18.610001,18.870001,18.620815,75100
2019-04-24,18.889999,19.34,18.790001,19.25,18.995796,102200
2019-04-25,19.120001,19.129999,18.790001,18.84,18.591211,129700
2019-04-26,18.889999,18.98,18.629999,18.690001,18.443193,63800
2019-04-29,18.67,18.860001,18.35,18.459999,18.216228,132400
2019-04-30,18.52,18.58,17.26,17.549999,17.318247,286700
2019-05-01,17.530001,17.74,17.25,17.309999,17.081415,198600
2019-05-02,16.85,17.940001,16.58,17.77,17.535343,280100
2019-05-03,17.969999,18.719999,17.84,18.299999,18.058342,178500
2019-05-06,17.959999,18.74,17.959999,18.610001,18.364248,263100
2019-05-07,18.4,18.75,18.35,18.690001,18.443193,179400
2019-05-08,18.629999,19.059999,18.540001,18.74,18.492533,82700
2019-05-09,18.58,19.26,18.5,19.219999,18.966192,89700
2019-05-10,19.049999,19.5,19.049999,19.43,19.248531,72800
2019-05-13,19.139999,19.59,19.02,19.43,19.248531,115600
2019-05-14,19.450001,19.73,19.290001,19.370001,19.189093,102700
2019-05-15,19.18,19.76,19.02,19.549999,19.367411,81500
2019-05-16,19.6,19.879999,19.59,19.65,19.466476,78900
2019-05-17,19.469999,19.959999,19.469999,19.559999,19.377316,91600
2019-05-20,19.450001,19.879999,19.42,19.610001,19.426853,92100
2019-05-21,19.68,20.33,19.68,20.309999,20.120312,96500
2019-05-22,20.209999,20.52,20.049999,20.209999,20.021246,73200
2019-05-23,20.059999,20.379999,19.98,20.18,19.991528,71500
2019-05-24,20.290001,20.620001,20.209999,20.57,20.377884,68500
2019-05-28,20.52,20.620001,19.629999,19.65,19.466476,77500
2019-05-29,19.610001,19.610001,19.110001,19.18,19.000868,83000
2019-05-30,19.26,19.290001,18.799999,19,18.822548,92700
2019-05-31,18.73,18.790001,17.809999,18.219999,18.049831,197000
2019-06-03,18.16,18.459999,18,18.370001,18.198433,193600
2019-06-04,18.5,19.049999,18.48,18.969999,18.79283,69100
2019-06-05,18.99,19.33,18.51,18.790001,18.61451,78700
2019-06-06,18.790001,18.85,18.57,18.74,18.564978,86800
2019-06-07,18.870001,19.02,18.5,18.799999,18.624416,99000
2019-06-10,18.790001,19.209999,18.780001,18.9,18.723482,96000
2019-06-11,19,19.139999,18.52,18.610001,18.43619,84200
2019-06-12,18.57,19,18.530001,18.82,18.644228,62300
2019-06-13,19.030001,19.33,18.93,19.27,19.090025,80700
2019-06-14,19.209999,19.66,19.15,19.52,19.337692,46000
2019-06-17,19.559999,19.68,19.33,19.4,19.218811,39100
2019-06-18,19.469999,19.85,19.299999,19.34,19.159374,49000
2019-06-19,18.629999,19.43,18.620001,19.4,19.218811,65900
2019-06-20,19.57,19.57,19.27,19.35,19.169281,72700
2019-06-21,19.17,19.280001,18.969999,19.110001,18.931522,77600
2019-06-24,19.030001,19.26,18.700001,18.98,18.802734,72400
2019-06-25,18.92,18.969999,18.58,18.73,18.555069,65900
2019-06-26,18.76,18.77,18.51,18.73,18.555069,48700
2019-06-27,18.719999,18.92,18.51,18.82,18.644228,60600
2019-06-28,18.82,19.08,18.74,19.01,18.832455,295200
2019-07-01,19.07,19.219999,18.57,18.67,18.49563,97400
2019-07-02,18.73,18.870001,18.549999,18.84,18.664042,42800
2019-07-03,18.799999,18.969999,18.790001,18.950001,18.773016,11700
2019-07-05,18.809999,19.049999,18.66,19.02,18.842361,49700
2019-07-08,18.969999,18.969999,18.43,18.459999,18.28759,39700
2019-07-09,18.42,18.42,18.110001,18.23,18.05974,47000
2019-07-10,18.280001,18.59,18.209999,18.57,18.396564,67700
2019-07-11,18.559999,18.610001,18.26,18.379999,18.208338,40300
2019-07-12,18.360001,18.690001,18.33,18.58,18.406469,43700
2019-07-15,18.629999,18.709999,18.309999,18.67,18.49563,47300
2019-07-16,18.610001,18.84,18.459999,18.5,18.327219,46000
2019-07-17,18.440001,18.5,18.129999,18.309999,18.138992,52700
2019-07-18,18.219999,18.379999,18.040001,18.200001,18.030022,43900
2019-07-19,18.139999,18.35,18.07,18.09,17.921045,50000
2019-07-22,18.09,18.48,18.07,18.440001,18.267778,47500
2019-07-23,18.49,18.51,18,18.469999,18.297497,92700
2019-07-24,18.389999,18.82,18.299999,18.780001,18.604603,45700
2019-07-25,18.790001,19.120001,18.77,18.940001,18.763109,60600
2019-07-26,19.01,19.309999,19.01,19.15,18.971148,32700
2019-07-29,19.120001,19.469999,19,19.35,19.169281,49800
2019-07-30,19.27,19.559999,19.07,19.459999,19.278252,61500
2019-07-31,19.459999,19.68,19.040001,19.120001,18.941429,118000
2019-08-01,19.860001,22.940001,19.75,22.34,22.131355,151400
2019-08-02,22.219999,22.6,21.620001,21.92,21.715275,78800
2019-08-05,21.620001,22.68,21.620001,22.5,22.289858,118500
2019-08-06,22.559999,22.950001,22.200001,22.34,22.131355,124700
2019-08-07,22.17,22.719999,22.110001,22.25,22.042194,86800
2019-08-08,22.4,22.77,22.17,22.6,22.388926,180800
2019-08-09,22.4,22.860001,22.389999,22.450001,22.314381,84800
2019-08-12,22.35,22.610001,22.16,22.219999,22.085768,66100
2019-08-13,22.25,22.639999,21.73,21.85,21.718004,77000
2019-08-14,21.690001,22.27,21.67,22.18,22.046011,127500
2019-08-15,22.26,22.620001,21.969999,22,21.867096,83900
2019-08-16,22.07,22.639999,22,22.49,22.354137,81800
2019-08-19,22.629999,22.83,22.540001,22.65,22.51317,44200
2019-08-20,22.540001,22.75,22.17,22.200001,22.065889,42200
2019-08-21,22.200001,22.219999,21.790001,21.83,21.698124,43000
2019-08-22,21.92,22.09,21.469999,21.51,21.380058,58300
2019-08-23,21.4,21.459999,20.799999,20.99,20.863197,98200
2019-08-26,21.1,21.639999,21.09,21.52,21.389997,73200
2019-08-27,21.639999,21.719999,20.91,20.959999,20.83338,55200
2019-08-28,20.860001,21.32,20.860001,21.129999,21.002354,64500
2019-08-29,21.34,21.459999,21.059999,21.1,20.972536,36300
2019-08-30,21.120001,21.389999,21.01,21.27,21.141508,101600
2019-09-03,21.200001,21.33,20.65,21.129999,21.002354,55300
2019-09-04,21.23,21.27,20.99,21.08,20.952656,34900
2019-09-05,21.25,21.610001,21,21.309999,21.181265,57500
2019-09-06,21.4,21.700001,21.16,21.190001,21.061991,70000
2019-09-09,21.23,21.620001,21.16,21.389999,21.260782,50200
2019-09-10,21.389999,22.33,21.25,21.9,21.7677,102200
2019-09-11,21.969999,22.549999,21.969999,22.540001,22.403835,93000
2019-09-12,22.639999,22.85,22.360001,22.450001,22.314381,131600
2019-09-13,22.65,22.889999,22.48,22.690001,22.552931,81000
2019-09-16,22.66,22.67,22.41,22.5,22.364077,144800
2019-09-17,22.48,22.809999,22.4,22.639999,22.503229,72200
2019-09-18,22.790001,22.940001,22.389999,22.41,22.274622,147500
2019-09-19,22.4,22.700001,22.200001,22.219999,22.085768,67700
2019-09-20,22.26,22.32,21.709999,21.76,21.628548,170200
2019-09-23,21.629999,21.950001,21.59,21.59,21.459574,88500
2019-09-24,21.67,21.85,21.26,21.280001,21.151447,103300
2019-09-25,21.35,21.75,21.35,21.700001,21.568911,85900
2019-09-26,21.66,21.860001,21.09,21.299999,21.171326,56800
2019-09-27,21.299999,21.41,20.82,20.91,20.783682,48500
2019-09-30,20.82,21.120001,20.42,20.440001,20.316523,70400
2019-10-01,20.68,21.049999,20.5,20.620001,20.495436,112900
2019-10-02,20.469999,20.959999,20.41,20.92,20.793621,96700
2019-10-03,20.91,21.08,20.52,20.75,20.624649,112300
2019-10-04,20.68,20.83,20.43,20.610001,20.485495,94800
2019-10-07,20.540001,20.99,20.5,20.620001,20.495436,165700
2019-10-08,20.540001,21.32,20.51,20.969999,20.843319,226200
2019-10-09,20.969999,21.530001,20.700001,20.860001,20.733986,64200
2019-10-10,20.950001,21.48,20.9,21.309999,21.181265,109700
2019-10-11,21.5,21.74,21.27,21.299999,21.171326,82600
2019-10-14,21.09,21.42,21.08,21.33,21.201145,66000
2019-10-15,21.389999,21.610001,21.360001,21.49,21.360178,116300
2019-10-16,21.42,21.49,21.07,21.08,20.952656,74400
2019-10-17,21.209999,21.639999,21.1,21.49,21.360178,115200
2019-10-18,21.389999,21.610001,21.389999,21.469999,21.3403,85700
2019-10-21,21.610001,21.940001,21.610001,21.68,21.54903,79900
2019-10-22,21.629999,21.790001,21.379999,21.389999,21.260782,39100
2019-10-23,21.4,21.530001,21.370001,21.459999,21.330359,67100
2019-10-24,21.6,21.639999,21.4,21.6,21.469515,74300
2019-10-25,21.59,22.129999,21.540001,22,21.867096,114900
2019-10-28,22.02,22.93,22.02,22.780001,22.642387,173400
2019-10-29,22.9,26.700001,22.6,26.559999,26.399551,555000
2019-10-30,26.6,26.809999,25.629999,26.16,26.001966,181000
2019-10-31,26.129999,26.27,25.540001,25.76,25.604383,122700
2019-11-01,25.76,26.84,25.690001,26.299999,26.141121,86900
2019-11-04,26.200001,26.25,25.43,25.629999,25.475168,60100
2019-11-05,25.809999,26.129999,25.549999,25.59,25.435411,65300
2019-11-06,25.49,25.77,24.969999,25.040001,24.888735,80300
2019-11-07,24.99,25.469999,24.68,25.42,25.342342,105800
2019-11-08,25.379999,25.5,24.799999,24.870001,24.794024,44600
2019-11-11,24.66,24.98,24.23,24.299999,24.225763,62200
2019-11-12,24.33,24.790001,24.27,24.709999,24.63451,59400
2019-11-13,24.620001,24.66,24.27,24.4,24.325459,35400
2019-11-14,24.450001,24.75,24.280001,24.5,24.425154,63000
2019-11-15,24.65,24.65,24.209999,24.309999,24.235733,46900
2019-11-18,24.299999,24.42,24.139999,24.370001,24.295551,48900
2019-11-19,24.200001,24.35,24.120001,24.129999,24.056282,107100
2019-11-20,24.059999,24.33,24,24.200001,24.12607,125200
2019-11-21,24.309999,24.35,23.950001,23.99,23.916712,36000
2019-11-22,24.059999,24.059999,23.67,23.68,23.607658,46800
2019-11-25,23.860001,24.34,23.709999,24.040001,23.966558,57100
2019-11-26,24.02,24.209999,23.860001,24.049999,23.976526,81700
2019-11-27,24.049999,24.25,23.73,23.75,23.677444,94700
2019-11-29,23.68,24.26,23.68,24.049999,23.976526,51700
2019-12-02,24.08,24.42,23.889999,24.35,24.275612,78600
2019-12-03,24.65,25.690001,24.530001,25.4,25.322403,218900
2019-12-04,25.68,26.889999,25.530001,26.49,26.409073,220600
2019-12-05,26.639999,26.66,25.889999,26.33,26.249563,135400
2019-12-06,26.5,26.709999,25.940001,26.059999,25.980387,227900
2019-12-09,26.15,27.139999,26.15,27,26.917515,152800
2019-12-10,27.049999,27.530001,26.540001,27.08,26.997271,117000
2019-12-11,27.200001,27.65,26.98,27.48,27.396049,96200
2019-12-12,27.41,27.799999,27.34,27.620001,27.535622,81600
2019-12-13,28.07,28.280001,27.709999,28.26,28.173666,99400
2019-12-16,28.389999,28.5,27.5,27.719999,27.635315,139700
2019-12-17,27.65,27.67,26.91,27.33,27.246508,251300
2019-12-18,27.52,27.52,26.85,27.200001,27.116905,84500
2019-12-19,27.23,27.23,26.549999,26.74,26.65831,82600
2019-12-20,26.67,26.790001,26.209999,26.360001,26.279472,172600
2019-12-23,26.309999,26.389999,25.9,26.219999,26.139898,78200
2019-12-24,26.23,26.299999,26.07,26.290001,26.209686,34800
2019-12-26,26.309999,26.309999,25.66,25.780001,25.701242,44100
2019-12-27,25.790001,25.85,25.57,25.68,25.601549,62500
2019-12-30,25.700001,25.85,25.27,25.73,25.651396,68300
2019-12-31,25.690001,25.92,25.52,25.6,25.521793,59700
2020-01-02,25.620001,25.620001,25,25.27,25.192801,74300
2020-01-03,25.059999,25.51,25,25.43,25.352312,81800
2020-01-06,25.34,25.73,25.16,25.690001,25.611519,77600
2020-01-07,25.709999,26.040001,25.27,25.32,25.242647,94400
2020-01-08,25.200001,25.32,25.02,25.280001,25.20277,66000
2020-01-09,25.209999,25.48,25.049999,25.08,25.003382,54700
2020-01-10,25.059999,25.219999,24.700001,25.200001,25.123014,60800
2020-01-13,25.15,25.25,25,25.17,25.093107,39100
2020-01-14,25.120001,25.360001,24.879999,25.309999,25.232677,47300
2020-01-15,25.24,25.629999,25.23,25.620001,25.541733,38500
2020-01-16,25.66,26.110001,25.65,25.74,25.661366,105900
2020-01-17,25.99,25.99,25.41,25.690001,25.611519,84000
2020-01-21,25.5,25.629999,25.299999,25.48,25.402159,187300
2020-01-22,25.52,25.700001,24.9,25.02,24.943565,49300
2020-01-23,24.940001,24.940001,24.129999,24.450001,24.375307,69400
2020-01-24,24.610001,24.77,24.23,24.49,24.415184,62700
2020-01-27,24.209999,24.65,24.040001,24.42,24.345398,40900
2020-01-28,24.5,24.6,24.33,24.459999,24.385275,35200
2020-01-29,24.450001,24.459999,24.219999,24.27,24.195856,39000
2020-01-30,24.09,24.27,23.82,24.15,24.076221,103200
2020-01-31,24.09,24.110001,23.5,23.67,23.597689,86400
2020-02-03,23.809999,24.059999,23.76,23.889999,23.817017,59000
2020-02-04,24.129999,24.530001,23.889999,24.360001,24.285582,89500
2020-02-05,24.57,24.67,23.83,24.370001,24.295551,115700
2020-02-06,24.549999,24.66,24.299999,24.549999,24.475,51500
2020-02-07,24.4,24.43,23.74,23.91,23.91,45500
2020-02-10,23.85,24.559999,23.85,24.530001,24.530001,58800
2020-02-11,24.559999,24.9,24.43,24.73,24.73,77800
2020-02-12,24.77,24.77,24.309999,24.41,24.41,52000
2020-02-13,24.52,24.76,24.379999,24.75,24.75,38500
2020-02-14,24.82,24.82,24.450001,24.549999,24.549999,63700
2020-02-18,24.549999,24.82,24.41,24.42,24.42,44300
2020-02-19,24.459999,25.459999,24.459999,25,25,153300
2020-02-20,24.5,25,21.25,22.200001,22.200001,359700
2020-02-21,21.940001,22.02,21.33,21.9,21.9,182700
2020-02-24,21.450001,21.559999,20.370001,20.530001,20.530001,137500
2020-02-25,20.5,20.700001,20.190001,20.309999,20.309999,204500
2020-02-26,20.48,21.23,20.32,21.1,21.1,186800
2020-02-27,21.09,21.5,20.639999,20.83,20.83,202700
2020-02-28,20.5,21.190001,20.5,21.15,21.15,192700
2020-03-02,21.25,21.379999,20.08,20.299999,20.299999,167300
2020-03-03,20.23,20.4,19.33,19.549999,19.549999,200300
2020-03-04,19.700001,20.370001,19.450001,20.299999,20.299999,182300
2020-03-05,20.35,21.120001,20.24,20.9,20.9,161200
2020-03-06,20.49,20.940001,20.17,20.6,20.6,153900
2020-03-09,20.030001,20.32,19.1,19.299999,19.299999,176200
2020-03-10,19.620001,19.940001,18.23,18.83,18.83,337100
2020-03-11,18.43,18.5,16.92,17.33,17.33,143100
2020-03-12,16.4,17.549999,15.67,15.71,15.71,200300
2020-03-13,16.209999,17.1,15.61,16.780001,16.780001,278300
2020-03-16,15.47,16,14.01,14.07,14.07,195700
2020-03-17,14.35,16.1,14.08,15.63,15.63,189000
2020-03-18,15.13,16.67,14.92,16.17,16.17,340300
2020-03-19,16.620001,18.15,14.91,15.17,15.17,247400
2020-03-20,15.34,16.74,15.34,15.46,15.46,272800
2020-03-23,15.93,16.68,14.05,14.1,14.1,269200
2020-03-24,14.6,15.13,13.93,14.99,14.99,150100
2020-03-25,15.05,15.67,14.58,14.74,14.74,181300
2020-03-26,14.81,15.39,14.02,14.24,14.24,247400
2020-03-27,14.04,15.75,13.6,15.51,15.51,260400
2020-03-30,16.26,17.93,15.96,17.09,17.09,380200
2020-03-31,17.82,17.85,16.02,16.15,16.15,237000
2020-04-01,15.95,16.379999,15.36,15.72,15.72,189400
2020-04-02,15.4,15.87,14.62,14.9,14.9,170800
